label,buy_age,start_mileage,most_recently_amount,year_station_costmoney,industry,sr_area,sales_city_lvname,month_income,marital_status,is_insaic_insur,system,cust_sex
1,27.4,10538,0.0,700.0,,,一线城市,,,是,ios,0
1,45.2,0,0.0,0.0,,,一线城市,,,否,,1
1,50.7,8098,526.0,526.0,,,二线城市,10000－14999元,已婚,否,,1
1,40.5,0,484.0,0.0,,,三线城市,,,是,ios,1
1,22.7,10997,0.0,0.0,,,一线城市,,,否,,1
1,31.6,28480,480.0,2985.0,,,三线城市,,,否,,0
1,35.4,670,700.0,4000.0,,,一线城市,,,否,,0
1,28.9,0,406.0,0.0,,,一线城市,,,否,,1
1,28.2,51656,647.0,0.0,,,二线城市,,,否,,1
1,24.3,8590,976.0,1761.0,,,三线城市,,,是,,1
1,38.5,0,576.0,2406.0,,,四线城市,,,是,,1
1,38.9,0,718.0,2306.0,,用车服务,一线城市,,,是,ios,1
1,31.1,7000,22340.0,29095.0,,,二线城市,,,是,ios,1
1,22.7,0,0.0,252.0,,,三线城市,2万元以下,未婚,是,,1
1,22.5,0,2.0,0.0,,,一线城市,,,是,android,1
1,31.4,0,98.0,0.0,,,二线城市,,,否,,1
1,34.5,0,2670.0,0.0,,,三线城市,3000－5999元,已婚,否,,0
1,23.6,14337,38.0,38.0,,,,,,否,,1
1,44.0,0,648.0,648.0,,,四线城市,6000－9999元,已婚,否,,1
1,35.8,7850,5.0,5.0,,,二线城市,3000－5999元,已婚,否,,1
1,31.7,28207,2799.73,2800.73,,售后咨询,三线城市,6000－9999元,已婚,否,android,1
1,36.1,27562,1186.0,2980.0,,,四线城市,10000－14999元,已婚,否,,1
1,31.4,6019,1080.0,1080.0,,,一线城市,3000－5999元,已婚,否,,1
1,51.8,0,864.0,8257.68,,,二线城市,3000－5999元,已婚,否,,1
1,22.5,0,2075.0,0.0,,,三线城市,6000－9999元,已婚,否,,1
1,36.7,0,2716.0,4036.0,,用车服务,二线城市,,,是,ios,1
1,29.7,0,8899.86,8917.86,,零星问题,四线城市,,,否,ios,0
1,29.1,12737,686.0,686.0,,售后咨询,三线城市,,,否,android,1
1,20.4,0,1.0,5763.0,,,五线城市,,,是,,1
1,38.5,615,719.0,2254.0,,,一线城市,6000－9999元,已婚,否,,1
1,46.5,47591,539.0,914.0,,道路救援,三线城市,10000－14999元,已婚,否,,1
1,28.9,25368,765.0,765.0,,售后咨询,一线城市,6000－9999元,已婚,是,,0
1,28.5,56483,913.0,1569.0,,,四线城市,3000－5999元,已婚,否,,0
1,30.5,0,0.0,0.0,,售后咨询,五线城市,,,否,,1
1,33.0,0,513.7,2214.6,,,一线城市,10000－14999元,未婚,否,,1
1,58.9,0,0.0,0.0,,,四线城市,,,否,android,1
1,24.4,25221,252.0,315.0,,,五线城市,,,是,android,1
1,26.9,0,60.0,4079.0,,,四线城市,,,否,,1
1,30.2,69645,0.0,0.0,,售后咨询,三线城市,,,否,,1
1,31.5,0,0.0,5236.0,,,一线城市,,,是,ios,1
1,38.4,0,0.0,539.0,,,三线城市,3000－5999元,已婚,否,android,1
1,38.2,0,11841.0,11841.0,,售后咨询,三线城市,,,否,,1
1,26.2,0,0.0,0.0,,,二线城市,,,否,,1
1,26.3,64041,0.0,2760.0,,服务争议,三线城市,,,否,,1
1,29.4,0,276.0,0.0,,,二线城市,,,否,,1
1,40.1,24688,1246.0,32386.0,,,一线城市,,,否,,1
1,27.3,0,0.0,0.0,,,一线城市,,,否,,1
1,50.8,0,157.0,3799.0,,道路救援,二线城市,10000－14999元,已婚,是,,1
1,28.4,2114,0.0,1136.0,,车主俱乐部,,,,是,ios,1
1,23.6,2583,1016.0,11545.0,,车主俱乐部,一线城市,,,是,ios,0
1,35.2,94998,664.0,0.0,,售后咨询,二线城市,,,否,,1
1,23.1,7118,0.0,5654.01,,,三线城市,,,否,android,1
1,34.4,0,268.0,1410.0,,,二线城市,10000－14999元,已婚,是,,1
1,30.7,50,819.0,819.0,,,二线城市,6000－9999元,已婚,否,,0
1,38.4,14644,3268.0,9057.0,,,一线城市,10000－14999元,已婚,是,,1
1,39.1,13235,200.0,2266.0,,,一线城市,15000－19999元,已婚,否,,1
1,35.3,45943,0.0,0.0,,,二线城市,6000－9999元,已婚,否,,1
1,30.0,0,245.0,245.0,,,一线城市,3000－5999元,已婚,否,,1
1,30.1,0,616.0,616.0,,售后咨询,三线城市,20000－24999元,已婚,否,android,1
1,27.1,0,1283.0,0.0,,,五线城市,,,否,android,1
1,50.5,0,0.0,3521.53,,,四线城市,3000－5999元,已婚,否,ios,0
1,26.4,45117,7374.85,7374.85,,,二线城市,6000－9999元,已婚,否,,0
1,43.9,13015,309.0,0.0,,,二线城市,6000－9999元,已婚,否,,1
1,37.9,0,200.0,200.0,,,四线城市,3000－5999元,已婚,否,,1
1,24.0,0,1.0,1.0,,车主俱乐部,二线城市,,,否,,1
1,36.3,0,0.0,120.0,,售后咨询,二线城市,,,否,android,0
1,41.2,0,0.0,0.0,,车主俱乐部,一线城市,,,是,ios,1
1,37.7,2350,2071.0,2071.0,,车主俱乐部,一线城市,,,否,android,1
1,43.1,3087,0.0,1180.0,,售后咨询,三线城市,,,是,android,1
1,41.1,16302,0.0,0.0,,售后咨询,一线城市,,,否,,1
1,34.7,9012,0.0,0.0,,售后咨询,一线城市,,,否,,1
1,48.4,18425,1392.0,3318.0,,,二线城市,,,否,ios,1
1,23.3,31690,2116.0,22979.0,,,一线城市,,,否,,1
1,35.5,9749,1599.0,9434.0,,,一线城市,,,否,,1
1,32.8,70060,1092.0,2215.0,,服务争议,二线城市,,,否,,1
1,38.3,0,434.0,2854.0,餐饮及其他服务业,,一线城市,6000－9999元,已婚,否,,1
1,29.0,0,567.0,1670.0,,,二线城市,,,是,ios,0
